league,season,team,players_used_,Age_,Poss_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,url_
FRA-Ligue 1,2526,Angers,25,26.0,41.8,16,176,1440,16,16,7,23,14,2,2,22,1,16.2,14.8,11.3,26.1,257,423,1.0,0.44,1.44,0.87,1.31,1.01,0.7,1.72,0.93,1.63,/en/squads/69236f98/Angers-Stats
FRA-Ligue 1,2526,Auxerre,25,25.3,44.1,15,165,1350,15,10,6,16,8,2,4,32,4,16.9,13.9,10.5,24.3,200,452,0.67,0.4,1.07,0.53,0.93,1.13,0.7,1.83,0.92,1.62,/en/squads/5ae09109/Auxerre-Stats
FRA-Ligue 1,2526,Brest,26,27.2,44.4,15,165,1350,15,19,12,31,14,5,7,25,3,23.4,17.8,13.9,31.7,167,429,1.27,0.8,2.07,0.93,1.73,1.56,0.93,2.48,1.19,2.12,/en/squads/fb08dbb3/Brest-Stats
FRA-Ligue 1,2526,Le Havre,24,27.9,46.0,15,165,1350,15,13,9,22,12,1,3,25,1,19.1,16.7,13.4,30.1,233,525,0.87,0.6,1.47,0.8,1.4,1.27,0.9,2.17,1.11,2.01,/en/squads/5c2737db/Le-Havre-Stats
FRA-Ligue 1,2526,Lens,22,27.5,48.4,15,165,1350,15,25,18,43,22,3,4,30,3,28.9,25.7,20.2,46.0,218,588,1.67,1.2,2.87,1.47,2.67,1.93,1.35,3.27,1.72,3.06,/en/squads/fd4e0f7d/Lens-Stats
FRA-Ligue 1,2526,Lille,28,27.3,56.0,15,165,1350,15,29,21,50,26,3,4,34,2,28.3,25.3,20.5,45.7,322,739,1.93,1.4,3.33,1.73,3.13,1.89,1.36,3.25,1.68,3.05,/en/squads/cb188c0c/Lille-Stats
FRA-Ligue 1,2526,Lorient,23,25.6,43.9,15,165,1350,15,18,12,30,17,1,4,32,1,20.9,17.7,14.2,31.8,297,504,1.2,0.8,2.0,1.13,1.93,1.39,0.94,2.34,1.18,2.12,/en/squads/d2c87802/Lorient-Stats
FRA-Ligue 1,2526,Lyon,25,26.9,55.4,15,165,1350,15,20,15,35,20,0,2,30,5,23.0,21.5,16.4,38.0,239,560,1.33,1.0,2.33,1.33,2.33,1.54,1.09,2.63,1.44,2.53,/en/squads/d53c0b06/Lyon-Stats
FRA-Ligue 1,2526,Marseille,30,27.9,59.7,15,165,1350,15,34,24,58,30,4,5,32,2,28.0,24.6,20.5,45.2,266,707,2.27,1.6,3.87,2.0,3.6,1.87,1.37,3.24,1.64,3.01,/en/squads/5725cc7b/Marseille-Stats
FRA-Ligue 1,2526,Metz,27,26.6,49.1,15,165,1350,15,14,9,23,11,3,4,22,3,17.2,14.1,12.1,26.2,230,395,0.93,0.6,1.53,0.73,1.33,1.15,0.81,1.95,0.94,1.74,/en/squads/f83960ae/Metz-Stats
FRA-Ligue 1,2526,Monaco,28,26.0,54.4,15,165,1350,15,24,18,42,20,4,5,39,4,28.9,24.9,19.3,44.2,242,662,1.6,1.2,2.8,1.33,2.53,1.93,1.28,3.21,1.66,2.95,/en/squads/fd6114db/Monaco-Stats
FRA-Ligue 1,2526,Nantes,24,25.5,42.9,16,176,1440,16,14,7,21,14,0,2,27,1,12.9,11.2,7.6,18.8,218,408,0.87,0.44,1.31,0.87,1.31,0.81,0.47,1.28,0.7,1.17,/en/squads/d7a486cd/Nantes-Stats
FRA-Ligue 1,2526,Nice,27,25.5,47.3,15,165,1350,15,17,15,32,15,2,2,33,2,17.3,15.8,13.5,29.3,235,508,1.13,1.0,2.13,1.0,2.0,1.15,0.9,2.06,1.05,1.95,/en/squads/132ebc33/Nice-Stats
FRA-Ligue 1,2526,Paris FC,25,27.7,54.4,15,165,1350,15,21,14,35,18,3,3,30,2,20.9,18.5,15.1,33.6,247,587,1.4,0.93,2.33,1.2,2.13,1.39,1.01,2.4,1.23,2.24,/en/squads/056a5a75/Paris-FC-Stats
FRA-Ligue 1,2526,Paris S-G,23,24.0,70.0,15,165,1350,15,32,22,54,29,3,4,18,0,27.4,24.3,20.5,44.7,388,880,2.13,1.47,3.6,1.93,3.4,1.83,1.36,3.19,1.62,2.98,/en/squads/e2d8892c/Paris-Saint-Germain-Stats
FRA-Ligue 1,2526,Rennes,28,26.4,49.7,15,165,1350,15,23,18,41,21,2,2,27,4,22.1,20.5,17.0,37.5,235,576,1.53,1.2,2.73,1.4,2.6,1.47,1.13,2.6,1.37,2.5,/en/squads/b3072e00/Rennes-Stats
FRA-Ligue 1,2526,Strasbourg,25,21.8,52.0,15,165,1350,15,25,19,44,23,2,2,33,4,24.0,22.4,18.6,41.0,246,600,1.67,1.27,2.93,1.53,2.8,1.6,1.24,2.84,1.49,2.73,/en/squads/c0d3eab4/Strasbourg-Stats
FRA-Ligue 1,2526,Toulouse,22,24.7,41.6,15,165,1350,15,20,10,30,16,4,6,37,1,20.6,16.0,11.2,27.2,220,510,1.33,0.67,2.0,1.07,1.73,1.37,0.75,2.12,1.07,1.82,/en/squads/3f8c4b5f/Toulouse-Stats
